Name	Set	ImageFile	Type	Affil	Text	Int/Rng	Cun/Wpn	Str/Shd	Points	Icons	Staff
Captain's Log	Alternate_Universe	Alternate_Universe_Event_Captain's_Log	Event		Plays on table. Each of your ships with its matching commander aboard is SHIELDS and WEAPONS +3. (Captain's Order.)						
Cardassian Trap	Alternate_Universe	Alternate_Universe_Dilemma_Cardassian_Trap	Dilemma		Unless Empathy present, opponent captures one unique non-[Car] personnel present (random selection). Discard dilemma.						
Coalescent Organism	Alternate_Universe	Alternate_Universe_Dilemma_Coalescent_Organism	Dilemma		Unless Exobiology present, one personnel (random selection) dies at end of your next turn. If others present at the death, organism is passed on to one of them (random selection), etc.						
Commander Tomalak	Alternate_Universe	Alternate_Universe_Personnel_Commander_Tomalak	Personnel	Romulan	OFFICER Diplomacy Leadership	7	7	9		[AU][Cmd]	
Compromised Mission	Alternate_Universe	Alternate_Universe_Mission_Compromised_Mission	Mission	[ROM][KLI]	Treachery x 2 + Computer Skill + STRENGTH>35 Opponent's side: [fed] Treachery x2 + Computer Skill + STRENGTH>35				35		
Conundrum	Alternate_Universe	Alternate_Universe_Dilemma_Conundrum	Dilemma		Unless INTEGRITY>40, this ship must do nothing but chase (at normal speed) and attack one of your opponent's ships on this spaceline (your choice). Discard dilemma.					[AU]	
Countermanda	Alternate_Universe	Alternate_Universe_Interrupt_Countermanda	Interrupt		Nullifies {Telepathic Alien Kidnappers} OR if opponent just played {Res-Q} or {Palor Toff}, suspend that action, look through opponent's discard pile and put any three cards out-of-play.						
Cryosatellite	Alternate_Universe	Alternate_Universe_Artifact_Cryosatellite	Artifact		Seed at a space location. May seed one additional artifact and up to 3 [AU] personnel here. They are earned when Cryosatellite earned; then discard Cryosatellite.					[AU]	
Data's Head	Alternate_Universe	Alternate_Universe_Artifact_Data's_Head	Artifact		Use as Equipment card. Head has CUNNING=10 and Computer Skill. While on a ship, RANGE, WEAPONS and SHIELDS are +2. (Not Cumulative.)					[AU]	
Dathon	Alternate_Universe	Alternate_Universe_Personnel_Dathon	Personnel	Non-Aligned	"OFFICER Diplomacy x 2 Leadership Honor Nullifies dilemmas with ""Tamarian"" in lore where present."	9	8	6		[Cmd]	
Dead in Bed	Alternate_Universe	Alternate_Universe_Interrupt_Dead_in_Bed	Interrupt		Kills any one personnel currently in stasis.					[AU]	
Decius	Alternate_Universe	Alternate_Universe_Ship_Decius	Ship	Romulan	Cloaking Device, Holodeck, Tractor Beam	10	9	8		[AU]	[AU][Cmd][Stf]
Destroy Radioactive Garbage Scow	Alternate_Universe	Alternate_Universe_Interrupt_Destroy_Radioactive_Garbage_Scow	Interrupt		Plays to discard {Scow}. Kills all personnel at that location unless aboard ship or {Thermal Deflectors} present. If mission not done yet, reduce its points.				-10		
Devidian Door	Alternate_Universe	Alternate_Universe_Doorway_Devidian_Door	Doorway		"Plays on table. While in play, allows you to play a card ""from the future."" Once each turn, you may say ""Devidian Door"" and play one Personnel or Equipment card to any planet. At any time during your next turn (or at game end, if sooner), you must show a Devidian Door from hand and place it out-of-play, or you lose the game."					[AU][Shield]	
Devidian Foragers	Alternate_Universe	Alternate_Universe_Interrupt_Devidian_Foragers	Interrupt		Look through any one discard pile and place two personnel out-of-play. Add their attribute numbers to one of your [AU] icon personnel for this turn.					[AU]	
Diplomatic Conference	Alternate_Universe	Alternate_Universe_Mission_Diplomatic_Conference	Mission	[FED][ROM][KLI]	One V.I.P. from each of four different affiliations Personnel on planet may mix to attempt.				60		
Future Enterprise	Alternate_Universe	Alternate_Universe_Ship_Future_Enterprise	Ship	Federation	Cloaking Device, Holodeck, Tractor Beam	13	10	9		[AU]	[AU][AU][AU][Cmd]
Romulan Ambush	Alternate_Universe	Alternate_Universe_Interrupt_Romulan_Ambush	Interrupt		Destroys opponent's ship with SHIELDS<6 present with your D'deridex-class ship. Crew killed, except one personnel (your choice) is made captive.						
Royale Casino: Blackjack	Alternate_Universe	Alternate_Universe_Dilemma_Royale_Casino_Blackjack	Dilemma		Play one game of blackjack, using CUNNING numbers. Players must show entire hand. Closest to 21 without going over wins points. Others lose points. Ties=0.				5 or -5	[AU]	
Thermal Deflectors	Alternate_Universe	Alternate_Universe_Event_Thermal_Deflectors	Event		Plays on table. While in play, nullifies {Firestorm}, {Thought Fire}, {Plasma Fire}, {Fire Sculptor}, and {Phaser Burns}.						
Thine Own Self	Alternate_Universe	Alternate_Universe_Interrupt_Thine_Own_Self	Interrupt		"Plays on opponent's one- or two-person Away Team on a planet (unless in a facility). Away Team is ""lost"" (place under mission). Capture (or opponent rescues) by solving mission."						
Thought Fire	Alternate_Universe	Alternate_Universe_Dilemma_Thought_Fire	Dilemma		If {The Traveler: Transcendence} is affecting you, all crew or Away Team members with (CUNNING+INTEGRITY)<12 are killed unless Empathy present.					[AU]	
D'Tan	Alternate_Universe	Alternate_Universe_Personnel_D'Tan	Personnel	Romulan	CIVILIAN Youth Archaeology Where present, Romulans without Treachery are INTEGRITY +1.	7	6	3			
Echo Papa 607 Killer Drone	Alternate_Universe	Alternate_Universe_Equipment_Echo_Papa_607_Killer_Drone	Equipment		Use during Away Team and Rogue Borg battles. First time used in battle, STRENGTH=10. Next time used in a separate battle, STRENGTH=20, etc.						
Edo Probe	Alternate_Universe	Alternate_Universe_Dilemma_Edo_Probe	Dilemma		Abandon mission attempt until any player completes a different mission OR continue but lose points if you do not solve mission this turn.				-10		
Edo Vessel	Alternate_Universe	Alternate_Universe_Ship_Edo_Vessel	Ship	Non-Aligned	X=8 However, there is always a 50/50 chance any attack is nullified.	5	10	X		[AU]	[AU][AU][Stf]
Empathic Echo	Alternate_Universe	Alternate_Universe_Dilemma_Empathic_Echo	Dilemma		One personnel present with Empathy (random selection) is killed unless SECURITY and MEDICAL present.					[AU]	
Engage Shuttle Operations	Alternate_Universe	Alternate_Universe_Event_Engage_Shuttle_Operations	Event		Plays on table. Your shuttlecraft may take off and land (using full RANGE) and be loaded, carried, and launched by your ships with Tractor Beam and ENGINEER aboard (uses 0 RANGE).						
Eyes in the Dark	Alternate_Universe	Alternate_Universe_Interrupt_Eyes_in_the_Dark	Interrupt		Plays when facing a dilemma. If Empathy present, add the skills and attribute numbers of one personnel (random selection) from any opponent's ship (your choice).					[AU]	
Ferengi Attack	Alternate_Universe	Alternate_Universe_Dilemma_Ferengi_Attack	Dilemma		Kills one Away Team member (opponent's choice) unless total CUNNING + STRENGTH>68 OR Greed present. Discard dilemma.						
FGC-47 Research	Alternate_Universe	Alternate_Universe_Mission_FGC-47_Research	Mission	[FED][ROM][KLI]	Diplomacy + Youth x2 X = 6 minus each Navigation aboard ship.				30		
Fire Sculptor	Alternate_Universe	Alternate_Universe_Interrupt_Fire_Sculptor	Interrupt		"Plays on {Plasma Fire} or {Warp Core Breach} to move onto nearest opponent's ship. OR ""Melt"" (place out-of-play) one card in any discard pile."						
Fissure Research	Alternate_Universe	Alternate_Universe_Mission_Fissure_Research	Mission	[FED][ROM][KLI]	Astrophysics + Physics + 3 {[AU] icon Personnel}				35		
Frame of Mind	Alternate_Universe	Alternate_Universe_Dilemma_Frame_of_Mind	Dilemma		One personnel present (random selection) now becomes Non-Aligned with attributes of 3-3-3 and only two skills (opponent's choice). Cure with 3 Empathy present.					[AU]	
Gomtuu	Alternate_Universe	Alternate_Universe_Ship_Gomtuu	Ship	Non-Aligned	If staffed, immune to {Supernova}. *If target has SHIELDS<9, hurl it up to 9 span.	7	*	6			Empathy x2
Governor Worf	Alternate_Universe	Alternate_Universe_Personnel_Governor_Worf	Personnel	Klingon	V.I.P. SECURITY Honor x 2 Navigation Diplomacy Leadership	8	7	8		[AU][Cmd]	
Hidden Entrance	Alternate_Universe	Alternate_Universe_Dilemma_Hidden_Entrance	Dilemma		To locate the concealed entrance and continue, Away Team must have {Geordi La Forge} OR ENGINEER + CUNNING>32.						
Howard Heirloom Candle	Alternate_Universe	Alternate_Universe_Interrupt_Howard_Heirloom_Candle	Interrupt		Plays to double effects of {Anaphasic Organism} or {Empathic Echo} OR nullifies {Coalescent Organism} OR prevents {Anya} or {Salia} from morphing this turn.						
Humuhumunukunukuapua'a	Alternate_Universe	Alternate_Universe_Interrupt_Humuhumunukunukuapua'a	Interrupt		Plays on any location. For this turn: Your personnel with Youth are CUNNING +4 and STRENGTH +4. Opponent's non-aligned personnel are CUNNING -4 and STRENGTH -4.						
Hunter Gangs	Alternate_Universe	Alternate_Universe_Dilemma_Hunter_Gangs	Dilemma		Two Away Team members (random selection) are chased. Examine cards separately. Personnel escapes if CUNNING even, killed if odd. Discard dilemma.						
I.K.C. Fek'lhr	Alternate_Universe	Alternate_Universe_Ship_I.K.C._Fek'lhr	Ship	Klingon	Cloaking Device, Holodeck, Tractor Beam	11	9	8		[AU]	[AU][AU][Cmd][Stf]
I.K.C. K'Ratak	Alternate_Universe	Alternate_Universe_Ship_I.K.C._K'Ratak	Ship	Klingon	Cloaking Device, Tractor Beam	6	8	6			[Stf]
I.P. Scanner	Alternate_Universe	Alternate_Universe_Equipment_I.P._Scanner	Equipment		Where present, nullifies {Interphasic Plasma Creatures}, {Brain Drain} and {Phased Matter}.						
Ian Andrew Troi	Alternate_Universe	Alternate_Universe_Personnel_Ian_Andrew_Troi	Personnel	Federation	OFFICER Diplomacy Leadership Music Computer Skill	8	8	6		[AU][Cmd]	
Iconian Gateway	Alternate_Universe	Alternate_Universe_Artifact_Iconian_Gateway	Artifact		Place in hand. Play as [Event] on a [P] mission: personnel present may walk to other [P] missions.						
Incoming Message: Attack Authorization	Alternate_Universe	Alternate_Universe_Interrupt_Incoming_Message_Attack_Authorization	Interrupt		"Plays on any Federation ship. If Treachery aboard, ""This ship must immediately attack one ship (your choice) at this location."" May ignore if V.I.P. aboard."						
Interphasic Plasma Creatures	Alternate_Universe	Alternate_Universe_Dilemma_Interphasic_Plasma_Creatures	Dilemma		Unless 2 SCIENCE or Mindmeld present, play on table as an Event card. While in play, lowers STRENGTH of each of your personnel by 2. (Not cumulative.)					[AU]	
Interrogation	Alternate_Universe	Alternate_Universe_Event_Interrogation	Event		"Plays on your captive (limit one; discard if released). Once each turn per copy, ask, ""How many lights?"" If opponent replies ""Five,"" score 10 points; relocate captive anywhere (opponent's choice; released). Otherwise, score 1 point."					[Pun]	
Intruder Force Field	Alternate_Universe	Alternate_Universe_Event_Intruder_Force_Field	Event		Plays on table. While in play, reverses {Telepathic Alien Kidnappers} affecting you AND {Rogue Borg} invading your ships must be 3 or more to be effective.						
Isabella	Alternate_Universe	Alternate_Universe_Interrupt_Isabella	Interrupt		Plays on any non-Borg ship at a nebula; it is destroyed unless Youth aboard by end of your next turn. OR Kill any one Greed personnel who just exploited a {Worshiper}.						
Jack Crusher	Alternate_Universe	Alternate_Universe_Personnel_Jack_Crusher	Personnel	Federation	OFFICER Honor Archaeology Music Leadership Computer Skill	8	8	7		[AU][Cmd]	
Jamaharon	Alternate_Universe	Alternate_Universe_Interrupt_Jamaharon	Interrupt		Nullifies {Horga'hn} OR nullifies {Parallel Romance} OR if planet {Risa} is on spaceline, immediately move any one male personnel alone on a planet to Risa.						
Kevin Uxbridge: Convergence	Alternate_Universe	Alternate_Universe_Interrupt_Kevin_Uxbridge_Convergence	Interrupt		Destroys all Event cards in play at any one spaceline location (including those on ships).						
Klim Dokachin	Alternate_Universe	Alternate_Universe_Event_Klim_Dokachin	Event		Plays on table. Opponent loses their regular card draw if they played a unique personnel this turn.						
K'mtar	Alternate_Universe	Alternate_Universe_Personnel_K'mtar	Personnel	Klingon	V.I.P. Diplomacy Leadership Honor Attributes all +5 if with {Alexander Rozhenko}.	8	8	8		[AU][Cmd]	
La Forge Maneuver	Alternate_Universe	Alternate_Universe_Interrupt_La_Forge_Maneuver	Interrupt		Plays to expose any one cloaked ship at a planet location. It is vulnerable (as if it were decloaked) if the next action is an attack against that ship.						
Lakanta	Alternate_Universe	Alternate_Universe_Personnel_Lakanta	Personnel	Non-Aligned	CIVILIAN Ship he is on can leave one end of spaceline and enter other end. {Wesley Crusher} attributes +4, if present.	8	12	3		[AU][Stf]	
Latinum Payoff	Alternate_Universe	Alternate_Universe_Interrupt_Latinum_Payoff	Interrupt		Plays if Greed aboard your ship when it destroys another ship in battle (once per destroyed ship). X=3 for each OFFICER aboard destroyed ship.				X		
Lower Decks	Alternate_Universe	Alternate_Universe_Event_Lower_Decks	Event		Plays on table. Each of your non-holographic, universal personnel is attributes all +2. (Captain's Order.)						
Lt. (j.g.) Picard	Alternate_Universe	Alternate_Universe_Personnel_Lt._(j.g.)_Picard	Personnel	Federation	SCIENCE Astrophysics Navigation	8	6	6		[AU][Stf]	
Major Rakal	Alternate_Universe	Alternate_Universe_Personnel_Major_Rakal	Personnel	Romulan/Federation	V.I.P. Romulan: Tal Shiar, Empathy, Treachery Federation: Empathy, Diplomacy, INTEGRITY +4, CUNNING -1	4	8	4		[AU][Cmd]	
Malfunctioning Door	Alternate_Universe	Alternate_Universe_Dilemma_Malfunctioning_Door	Dilemma		To get past requires a Soong-Type android OR STRENGTH>27 from up to four personnel.						
Maman Picard	Alternate_Universe	Alternate_Universe_Dilemma_Maman_Picard	Dilemma		If this is a Federation ship, immediately transport it to any end of the spaceline (opponent's choice).					[AU]	
Maques	Alternate_Universe	Alternate_Universe_Personnel_Maques	Personnel	Non-Aligned	V.I.P. Empathy x 2 Diplomacy	8	7	4			
Mickey D.	Alternate_Universe	Alternate_Universe_Personnel_Mickey_D	Personnel	Non-Aligned	CIVILIAN Treachery Automatically wins {Royale Casino} side games, if present.	1	5	8		[AU]	
Neutral Outpost	Alternate_Universe	Alternate_Universe_Facility_Neutral_Outpost	Facility	Neutral	Seed one at any [S] mission OR build at any [S] mission where you have any ENGINEER. Does not repair ships.			24			
Ophidian Cane	Alternate_Universe	Alternate_Universe_Artifact_Ophidian_Cane	Artifact		Place in hand until played as an Interrupt card to allow 3 through {Devidian Door} OR double {Devidian Foragers} (to four personnel) OR double {Empathic Touch}.					[AU]	
Outpost Raid	Alternate_Universe	Alternate_Universe_Dilemma_Outpost_Raid	Dilemma		If at your outpost: two personnel are killed (opponent's choice) unless STRENGTH>81. Discard dilemma. OR Elsewhere: requires STRENGTH>18 to pass.						
Parallel Romance	Alternate_Universe	Alternate_Universe_Dilemma_Parallel_Romance	Dilemma		Randomly select a male and a female. (If you cannot, discard dilemma.) Until countdown expires, each of them is stopped and has STRENGTH reduced by 2.					[3][AU]	
Particle Scattering Field	Alternate_Universe	Alternate_Universe_Event_Particle_Scattering_Field	Event		Plays on one of your ships with a Particle Scattering Device. No beaming to or from a planet is allowed where ship present. You may discard Field at any time.						
Phaser Burns	Alternate_Universe	Alternate_Universe_Interrupt_Phaser_Burns	Interrupt		If you have {phasers} or {disruptors} present during a personnel battle, before a winner is determined randomly select two opposing stunned cards to die.						
Punishment Zone	Alternate_Universe	Alternate_Universe_Dilemma_Punishment_Zone	Dilemma		One Away Team member (random selection) is killed OR beam up that personnel at a penalty. Double penalty if Federation.				-5		
Qualor II Rendezvous	Alternate_Universe	Alternate_Universe_Mission_Qualor_II_Rendezvous	Mission	[NON]	Treachery + Greed OR {Amarie} Aligned personnel on planet in stasis until mission solved.				30		
Quantum Singularity Lifeforms	Alternate_Universe	Alternate_Universe_Dilemma_Quantum_Singularity_Lifeforms	Dilemma		If a Romulan ship present, all ships and personnel here are placed in stasis. Cure with {Emergency Transporter Armbands}, {Timepod Ring} or new ENGINEER arriving.					[AU]	
Quash Conspiracy	Alternate_Universe	Alternate_Universe_Mission_Quash_Conspiracy	Mission	[ROM]	Tal Shiar + INTEGRITY<21 No ship-to-ship beaming at this location.				40		
Rachel Garrett	Alternate_Universe	Alternate_Universe_Personnel_Rachel_Garrett	Personnel	Federation	OFFICER Honor ENGINEER Leadership Diplomacy Astrophysics	9	7	5		[AU][Cmd]	
Rascals	Alternate_Universe	Alternate_Universe_Dilemma_Rascals	Dilemma		All unique crew members (maximum of 4, random selection) are kids. STRENGTH=2 and Youth replaces first-listed skill. Cure with 2 MEDICAL and Biology.						
Receptacle Stones	Alternate_Universe	Alternate_Universe_Artifact_Receptacle_Stones	Artifact		Place in hand until played as an Event on crew of an opponent's ship. Any space dilemmas you encounter this turn also apply to that ship and crew. Discard event.						
Rescue Captives	Alternate_Universe	Alternate_Universe_Interrupt_Rescue_Captives	Interrupt		All your personnel currently held captive are returned to your outpost(s), nullifying {Interrogation}, {Brainwash} and {Torture}, if any or all are in progress.						
Ressikan Flute	Alternate_Universe	Alternate_Universe_Artifact_Ressikan_Flute	Artifact		Immediately score points; X=the number of different Music personnel present (limit 5). Then, play on table; points may be nullified by {The Devil}. (Not duplicatable.)				4X	[AU]	
Reunion	Alternate_Universe	Alternate_Universe_Mission_Reunion	Mission	[FED]	Miracle Worker OR Cantankerousness OR {Spock} X = 15 points if one present, 40 if all three.				X		
Revolving Door	Alternate_Universe	Alternate_Universe_Event_Revolving_Door	Event		"Plays on any non-[Shield][Doorway] or {Iconian Gateway}; it is closed while this card is face up. At start of any player's turn, that player may discard a non-personnel card from hand to ""revolve"" (flip) this card. (Unique.) OR Nullifies Revolving Door."						
Richard Castillo	Alternate_Universe	Alternate_Universe_Personnel_Richard_Castillo	Personnel	Federation	OFFICER Leadership Navigation	8	7	7		[AU][Cmd]	
Risa Shore Leave	Alternate_Universe	Alternate_Universe_Mission_Risa_Shore_Leave	Mission	[FED]	Music + Youth + CIVILIAN x2 + Female + Male				30		
Rishon Uxbridge	Alternate_Universe	Alternate_Universe_Event_Rishon_Uxbridge	Event		Plays atop one Event card in play; it is immune to {Kevin Uxbridge}.					[AU]	
Samuel Clemens' Pocketwatch	Alternate_Universe	Alternate_Universe_Artifact_Samuel_Clemens'_Pocketwatch	Artifact		Place in hand until played as an Interrupt card. One action that must happen on your next turn (such as your card draw), happens now instead.					[AU]	
Security Sacrifice	Alternate_Universe	Alternate_Universe_Interrupt_Security_Sacrifice	Interrupt		One SECURITY personnel present may sacrifice (substitute) for another personnel who has been randomly selected to die.						
Seize Wesley	Alternate_Universe	Alternate_Universe_Interrupt_Seize_Wesley	Interrupt		Plays on opponent's ship under influence of {Ktarian Game} dilemma. All remaining personnel are disabled. If {Wesley Crusher} aboard, he is made your captive.						
Senior Staff Meeting	Alternate_Universe	Alternate_Universe_Interrupt_Senior_Staff_Meeting	Interrupt		Plays on ship with OFFICER, ENGINEER, MEDICAL, SCIENCE and SECURITY aboard, just before the initial attempt of a space mission. First dilemma encountered is discarded. (Captain's Order.)						
Stefan DeSeve	Alternate_Universe	Alternate_Universe_Personnel_Stefan_DeSeve	Personnel	Romulan/Federation	CIVILIAN Romulan: Treachery, Greed Federation: OFFICER, Treachery, INTEGRITY -1	5	8	5		[AU][Stf]	
Temporal Narcosis	Alternate_Universe	Alternate_Universe_Interrupt_Temporal_Narcosis	Interrupt		Plays when opponent is using {Horga'hn}, {Revolving Door}, {Emergency Transporter Armbands} or {Energy Vortex}. Your next turn take a double turn.					[AU]	
The Charybdis	Alternate_Universe	Alternate_Universe_Event_The_Charybdis	Event		Plays on table. Artifacts at completed missions cannot be acquired until Archaeology present. (If Charybdis destroyed, anyone present may acquire artifact.)						
The Gatherers	Alternate_Universe	Alternate_Universe_Dilemma_The_Gatherers	Dilemma		Unless {Marouk} OR INTEGRITY>36 present, discard all Equipment and Artifacts in Away Team, plus one card (random selection) from your hand. Discard dilemma.						
The Higher... The Fewer	Alternate_Universe	Alternate_Universe_Dilemma_The_Higher..._The_Fewer	Dilemma		Subtract X from your total score, where X=the number of personnel in this crew or Away Team.				X		
The Mask of Korgano	Alternate_Universe	Alternate_Universe_Event_The_Mask_of_Korgano	Event		Plays on one of your personnel. While in play, changes it from normal to [AU] icon personnel, or vice versa.						
U.S.S. Enterprise-C	Alternate_Universe	Alternate_Universe_Ship_U.S.S._Enterprise-C	Ship	Federation	Enters play damaged at any location. Tractor Beam	8	7	8		[AU]	[AU][Cmd][Stf]
Vorgon Raiders	Alternate_Universe	Alternate_Universe_Interrupt_Vorgon_Raiders	Interrupt		"If you have {Ajur} and {Boratus} together in play, discard them and ""steal"" (use as your own) any one artifact in play or just played as an Interrupt card."					[AU]	
Vulcan Nerve Pinch	Alternate_Universe	Alternate_Universe_Interrupt_Vulcan_Nerve_Pinch	Interrupt		Plays at start of personnel battle. Your Vulcans and Soong-Type Androids may each place one opposing personnel or {Rogue Borg} (random selection) in stasis until end of your next turn.						
Warped Space	Alternate_Universe	Alternate_Universe_Mission_Warped_Space	Mission	[KLI]	SCIENCE x2 + Navigation + Astrophysics Opponent's side: Span: 1				45		
Wartime Conditions	Alternate_Universe	Alternate_Universe_Event_Wartime_Conditions	Event		Plays on table only if a Federation ship is attacked by another ship. While in play, the Federation may battle the attacking ship's affiliation at will.					[AU]	
Wolf	Alternate_Universe	Alternate_Universe_Interrupt_Wolf	Interrupt		Saves any personnel with Empathy who has been randomly selected to die or to be captured. OR Nullifies {Barclay Transporter Phobia}.					[AU]	
Worshiper	Alternate_Universe	Alternate_Universe_Dilemma_Worshiper	Dilemma		If Away Team's Greed>Honor, score bonus points. Otherwise, Away Team is stopped unless {Edo Vessel} or Anthropology present. Discard dilemma.				5		
Yellow Alert	Alternate_Universe	Alternate_Universe_Event_Yellow_Alert	Event		Plays on table. While in play, cancels (discards) and prevents {Red Alert!} AND all your Personnel are each CUNNING +1 (Not cumulative.) (Captain's Order.)						
Zaldan	Alternate_Universe	Alternate_Universe_Dilemma_Zaldan	Dilemma		Unless 2 Treachery OR a {disruptor} OR {Wesley Crusher} OR Exobiology present, kills two Away Team members who have Diplomacy (random selection).						
