Name	Set	ImageFile	Type	Affil	Text	Int/Rng	Cun/Wpn	Str/Shd	Points	Icons	Staff
Beverly Crusher	PR	PR_Personnel_Beverly_Crusher	Personnel	Federation	MEDICAL MEDICAL Biology Exobiology	8	8	5		[Cmd]	
"Birth of ""Junior"""	PR	PR_Dilemma_Birth_of_Junior	Dilemma		Place on ship. End of each turn, reduces RANGE by 1; if this reduces RANGE below 1 (or RANGE already below 1), destroys ship. Nullify with 3 ENGINEER.						
Disruptor Overload	PR	PR_Interrupt_Disruptor_Overload	Interrupt		Plays on either player's crew or Away Team (except on their facility). Destroys one of that player's non-[Shield][Equipment] present (random selection).						
Distortion Field	PR	PR_Event_Distortion_Field	Event		Plays on a [P]. End of each turn (even while face down), flip card over. While face up, prevents all beaming to or from this planet. (Unique.)						
Distortion of Space/Time Continuum	PR	PR_Interrupt_Distortion_of_SpaceTime_Continuum	Interrupt		Plays on your non-[AU] ship just after opponent plays an [AU] card. You may discard to unstop ship and crew OR restore full RANGE OR unstop an Away Team here. (Unique.)					[1]	
Yridian Shuttle	PR	PR_Ship_Yridian_Shuttle	Ship	Non-Aligned		6	1	3			
Zibalian Transport	PR	PR_Ship_Zibalian_Transport	Ship	Non-Aligned		6	2	4			
Alexander Rozhenko	PR	PR_Personnel_Alexander_Rozhenko	Personnel	Federation	CIVILIAN Honor Youth	6	4	2			
Alidar Jarok	PR	PR_Personnel_Alidar_Jarok	Personnel	Romulan	OFFICER Navigation Leadership	2	8	8		[Cmd]	
Alien Abduction	PR	PR_Dilemma_Alien_Abduction	Dilemma		Places most CUNNING Away Team member atop mission (in stasis) with dilemma. Cure with 3 Leadership. Released when mission completed (discard dilemma).						
Alien Groupie	PR	PR_Interrupt_Alien_Groupie	Interrupt		Plays on an Away Team that just solved a planet mission. One male present (random selection) is stopped until countdown expires.					[2]	
Alien Parasites	PR	PR_Dilemma_Alien_Parasites	Dilemma		Unless INTEGRITY>32, opponent controls Away Team and/or your ship and crew here (opponent's choice) until start of your next turn (not compatible with opponent's other cards).						
Alien Probe	PR	PR_Event_Alien_Probe	Event		Plays on table. Players play with their hands revealed.						
Alynna Nechayev	PR	PR_Personnel_Alynna_Nechayev	Personnel	Federation	OFFICER Diplomacy Leadership	7	8	3		[Cmd]	
Alyssa Ogawa	PR	PR_Personnel_Alyssa_Ogawa	Personnel	Federation	MEDICAL Biology	7	6	4		[Stf]	
Amanda Rogers	PR	PR_Interrupt_Amanda_Rogers	Interrupt		Nullifies an [Interrupt] being played (except [Shield]). Place this [Interrupt] out-of-play.					[Shield]	
Amarie	PR	PR_Personnel_Amarie	Personnel	Non-Aligned	CIVILIAN Music	5	9	2			
Anaphasic Organism	PR	PR_Dilemma_Anaphasic_Organism	Dilemma		Unless MEDICAL and SECURITY present, discards female with highest total attributes. Discard dilemma.						
Ancient Computer	PR	PR_Dilemma_Ancient_Computer	Dilemma		Cannot get past unless 2 Computer Skill OR 3 SCIENCE OR 3 ENGINEER present.						
Anti-Time Anomaly	PR	PR_Q_Event_Anti-Time_Anomaly	Q Event		"Plays on table. At the start of each turn, opponent may [Flip] one ship at {any Devron System}. When countdown expires, each player shuffles all personnel in play (even ""for uniqueness only"") that they own into their draw decks."					[3]	
Archer	PR	PR_Dilemma_Archer	Dilemma		Unless MEDICAL and SECURITY present, kills Away Team member with highest total attributes. Discard dilemma.					[IPG]	
Armus: Skin Of Evil	PR	PR_Dilemma_Armus_Skin_Of_Evil	Dilemma		Kills one Away Team member (random selection).					[IPG]	
Asteroid Sanctuary	PR	PR_Interrupt_Asteroid_Sanctuary	Interrupt		Plays on your exposed ship (even at the start of battle). While your 2 Navigation aboard, cancels any battle initiated against it. Discard at end of turn.						
Atmospheric Ionization	PR	PR_Event_Atmospheric_Ionization	Event		Plays on a [P]. Personnel may only beam to/from this planet one at a time, and only if their controller has beamed no more than three personnel this way this turn. (Unique.)						
Auto-Destruct Sequence	PR	PR_Interrupt_Auto-Destruct_Sequence	Interrupt		Plays on your ship. When countdown expires, destroys ship. Then, damages all other ships present with SHIELDS<8.					[1]	
Morag	PR	PR_Personnel_Morag	Personnel	Klingon	OFFICER Computer Skill Greed	7	4	8		[Cmd]	
Morgan Bateson	PR	PR_Personnel_Morgan_Bateson	Personnel	Federation	OFFICER Leadership Stellar Cartography	8	4	5		[Cmd]	
Mot the Barber	PR	PR_Personnel_Mot_the_Barber	Personnel	Federation	CIVILIAN Barbering	6	4	5			
Movar	PR	PR_Personnel_Movar	Personnel	Romulan	OFFICER Treachery Anthropology	5	7	7		[Cmd]	
Taibak	PR	PR_Personnel_Taibak	Personnel	Romulan	SCIENCE Treachery Biology Computer Skill	2	8	8		[Stf]	
Tam Elbrun	PR	PR_Personnel_Tam_Elbrun	Personnel	Federation	V.I.P. Empathy x 2 Honor	5	7	3			
Tarellian Plague Ship	PR	PR_Dilemma_Tarellian_Plague_Ship	Dilemma		Beams a personnel (your choice) to this card (in space), if possible. Score points if MEDICAL aboard this card. If not, your crew dies. Discard dilemma.				5		
Tasha Yar	PR	PR_Personnel_Tasha_Yar	Personnel	Federation	SECURITY Honor Leadership	8	7	8		[Stf]	
Avert Disaster	PR	PR_Mission_Avert_Disaster	Mission	[FED]	Geology + Honor + INTEGRITY>35				40		
Ba'el	PR	PR_Personnel_Ba'el	Personnel	Klingon/Romulan	CIVILIAN Anthropology Youth	6	6	4			
Baran	PR	PR_Personnel_Baran	Personnel	Non-Aligned	OFFICER Greed Archaeology Exobiology Computer Skill	3	8	6		[Cmd]	
Barclay's Protomorphosis Disease	PR	PR_Dilemma_Barclay's_Protomorphosis_Disease	Dilemma		Unless MEDICAL, SCIENCE, and SECURITY present, kills all personnel present (except inorganics). Otherwise, score points. Discard dilemma.				10		
Bochra	PR	PR_Personnel_Bochra	Personnel	Romulan	OFFICER Navigation Youth	7	7	6		[Stf]	
Bok	PR	PR_Personnel_Bok	Personnel	Non-Aligned	OFFICER Greed ENGINEER Treachery Computer Skill	4	9	4		[Cmd]	
Borg Ship	PR	PR_Dilemma_Borg_Ship	Dilemma		Place at furthest spaceline end. End of every turn: Attacks all ships, then moves. Worth points if destroyed in battle.	8	24	24	15	[Self]	
Bynars Weapon Enhancement	PR	PR_Event_Bynars_Weapon_Enhancement	Event		Plays on ship. Ship is WEAPONS +2. (Cumulative.)						
Chalnoth	PR	PR_Dilemma_Chalnoth	Dilemma		Unless 3 SECURITY OR STRENGTH>40 present, kills one Away Team member (opponent's choice). Otherwise, score points. Discard dilemma.				5	[IPG]	
Cloaked Mission	PR	PR_Mission_Cloaked_Mission	Mission	[KLI]	Navigation + Diplomacy + Honor				30		
Cosmic String Fragment	PR	PR_Dilemma_Cosmic_String_Fragment	Dilemma		Unless ENGINEER OR Astrophysics OR Navigation present, destroys ship. Otherwise, score points. Discard dilemma.				5		
Covert Installation	PR	PR_Mission_Covert_Installation	Mission	[ROM]	ENGINEER + Leadership + Treachery				35		
Covert Rescue	PR	PR_Mission_Covert_Rescue	Mission	[ROM]	Diplomacy + Leadership + CUNNING>35				30		
Crosis	PR	PR_Interrupt_Crosis	Interrupt		Plays on a ship. Doubles STRENGTH of all {Rogue Borg} present. At start of next turn, discard interrupt. (May be targeted as a Rogue Borg by {Six of Nineteen}.)						
Crystalline Entity	PR	PR_Dilemma_Crystalline_Entity	Dilemma		[P]: Unless MEDICAL and SCIENCE, kills Away Team. [S]: Unless Music OR SHIELDS>6, kills all personnel on ship. Then: Discard dilemma. Score points if overcome.				5	[IPG]	
Cultural Observation	PR	PR_Mission_Cultural_Observation	Mission	[FED]	Anthropology + Leadership + STRENGTH>30				40		
Cytherians	PR	PR_Dilemma_Cytherians	Dilemma		Attempt ends. Target location at this spaceline's far end. Place on ship; it must do nothing but move towards there. Discard when reached (score points).				15		
Data	PR	PR_Personnel_Data	Personnel	Federation	OFFICER ENGINEER Computer Skill x 2 Music Astrophysics Exobiology	8	12	12		[Cmd]	
Deanna Troi	PR	PR_Personnel_Deanna_Troi	Personnel	Federation	OFFICER Empathy Diplomacy	8	7	4		[Cmd]	
Devinoni Ral	PR	PR_Personnel_Devinoni_Ral	Personnel	Non-Aligned	V.I.P. Empathy Diplomacy Treachery	3	9	3			
Devoras	PR	PR_Ship_Devoras	Ship	Romulan	Cloaking Device, Tractor Beam	9	8	8			[Cmd][Stf][Stf]
Diplomacy Mission	PR	PR_Mission_Diplomacy_Mission	Mission	[FED]	Diplomacy + INTEGRITY>30 + CUNNING>30				30		
Dr. La Forge	PR	PR_Personnel_Dr._La_Forge	Personnel	Federation	SCIENCE Exobiology	7	7	4		[Stf]	
Dr. Reyga	PR	PR_Personnel_Dr._Reyga	Personnel	Non-Aligned	SCIENCE ENGINEER Stellar Cartography Astrophysics	6	9	5		[Stf]	
Gaps in Normal Space	PR	PR_Event_Gaps_in_Normal_Space	Event		Insert in spaceline between two missions as a span 4 [S] location. When a ship moves to here, randomly kills a personnel aboard. If nullified, cards here relocate to adjacent location if possible (your choice).						
Ocett	PR	PR_Personnel_Ocett	Personnel	Non-Aligned	OFFICER Archaeology Navigation Honor	6	8	6		[Cmd]	
Roga Danar	PR	PR_Personnel_Roga_Danar	Personnel	Non-Aligned	SECURITY ENGINEER Computer Skill Biology Leadership	5	9	12		[Cmd]	
Rogue Borg	PR	PR_Interrupt_Rogue_Borg	Interrupt		Plays on an occupied ship. X = Number of Rogue Borg present; they form an Away Team. End of every player's turn: That Away Team battles that player's personnel present.					[Self]	
Romulan Disruptor	PR	PR_Equipment_Romulan_Disruptor	Equipment		If your [Rom] or [Non] personnel present, each of your personnel present is STRENGTH +2. (Cumulative.)						
Romulan Outpost	PR	PR_Facility_Romulan_Outpost	Facility	Romulan	Seed one OR build where you have a Romulan ENGINEER.			32			
Romulan PADD	PR	PR_Equipment_Romulan_PADD	Equipment		If your [Rom] personnel present, each of your personnel present is CUNNING +2. (Cumulative.)						
Thomas Riker	PR	PR_Personnel_Thomas_Riker	Personnel	Federation	OFFICER Leadership Navigation Geology Music	8	7	6		[Cmd]	
Thought Maker	PR	PR_Artifact_Thought_Maker	Artifact		Place in hand. Plays as : Name a card type, then take all cards with that card type from opponent's draw deck, shuffle them, and place them on bottom of deck.						
Dr. Selar	PR	PR_Personnel_Dr._Selar	Personnel	Federation	MEDICAL Computer Skill Mindmeld	7	8	7		[Stf]	
Duras	PR	PR_Personnel_Duras	Personnel	Klingon	V.I.P. Leadership Computer Skill Treachery Greed	4	6	8		[Cmd]	
El-Adrel Creature	PR	PR_Dilemma_El-Adrel_Creature	Dilemma		Targets the two strongest members in Away Team (your choice if tie). Unless they have STRENGTH>16, kills one of them (random selection). Discard dilemma.						
Emergency Transporter Armbands	PR	PR_Interrupt_Emergency_Transporter_Armbands	Interrupt		Plays on your crew or Away Team, even during battle or while facing an [ETA] dilemma. Any of your personnel present may immediately beam away. (May not be played while two adversaries are in combat.)						
Energy Vortex	PR	PR_Interrupt_Energy_Vortex	Interrupt		Plays while opponent's normal card play is being played. Cancels that card play; card returns to hand. Opponent may play a different card as their normal card play instead. (Other costs remain paid.)						
Engineering Kit	PR	PR_Equipment_Engineering_Kit	Equipment		Your OFFICER-classification personnel present gain ENGINEER.						
Engineering PADD	PR	PR_Equipment_Engineering_PADD	Equipment		Your SCIENCE-classification personnel present gain ENGINEER.						
Erik Pressman	PR	PR_Personnel_Erik_Pressman	Personnel	Federation	OFFICER ENGINEER Treachery	5	6	5		[Cmd]	
Escape Pod	PR	PR_Interrupt_Escape_Pod	Interrupt		Plays at a location just after your ship there is destroyed; relocate its crew(s) atop this card. You may later relocate them to your ship here, then discard interrupt.						
Espionage: Federation on Klingon	PR	PR_Event_Espionage_Federation_on_Klingon	Event		Plays on a [KLI] mission. Your cards may attempt it as if it were [FED]. Discard when solved (just after points are scored).						
Espionage: Klingon on Federation	PR	PR_Event_Espionage_Klingon_on_Federation	Event		Plays on a [FED] mission. Your cards may attempt it as if it were [KLI]. Discard when solved (just after points are scored).						
Espionage: Romulan on Federation	PR	PR_Event_Espionage_Romulan_on_Federation	Event		Plays on a [FED] mission. Your cards may attempt it as if it were [ROM]. Discard when solved (just after points are scored).						
Espionage: Romulan on Klingon	PR	PR_Event_Espionage_Romulan_on_Klingon	Event		Plays on a [KLI] mission. Your cards may attempt it as if it were [ROM]. Discard when solved (just after points are scored).						
Etana Jol	PR	PR_Personnel_Etana_Jol	Personnel	Non-Aligned	SCIENCE Treachery Biology	2	8	3		[Cmd]	
Evacuation	PR	PR_Mission_Evacuation	Mission	[FED]	Diplomacy x3 + STRENGTH>35				30		
Evaluate Terraforming	PR	PR_Mission_Evaluate_Terraforming	Mission	[FED]	MEDICAL + Biology + Exobiology OR {Geordi La Forge} + MEDICAL x2				35		
Evek	PR	PR_Personnel_Evek	Personnel	Non-Aligned	OFFICER Diplomacy Leadership Anthropology	7	5	7		[Cmd]	
Excavation	PR	PR_Mission_Excavation	Mission	[FED][ROM]	Archaeology OR CUNNING>32				25		
Explore Black Cluster	PR	PR_Mission_Explore_Black_Cluster	Mission	[FED][KLI]	Stellar Cartography + Leadership OR CUNNING>50				35		
Explore Dyson Sphere	PR	PR_Mission_Explore_Dyson_Sphere	Mission	[FED]	ENGINEER x3 + Navigation + Computer Skill + Physics				35		
Explore Typhon Expanse	PR	PR_Mission_Explore_Typhon_Expanse	Mission	[ROM][KLI]	Astrophysics + Stellar Cartography OR CUNNING>50				35		
Expose Covert Supply	PR	PR_Mission_Expose_Covert_Supply	Mission	[ROM]	Treachery x3 + Navigation				30		
Extraction	PR	PR_Mission_Extraction	Mission	[ROM]	Treachery + Biology + MEDICAL				35		
Federation Outpost	PR	PR_Facility_Federation_Outpost	Facility	Federation	Seed one OR build where you have a Federation ENGINEER.			30			
Federation PADD	PR	PR_Equipment_Federation_PADD	Equipment		If your [Fed] personnel present, each of your personnel present is CUNNING +2. (Cumulative.)						
Female's Love Interest	PR	PR_Dilemma_Female's_Love_Interest	Dilemma		Relocates a female present (random selection) to furthest different planet on this spaceline.						
Fever Emergency	PR	PR_Mission_Fever_Emergency	Mission	[KLI]	MEDICAL x3 OR Biology + OFFICER				35		
Firestorm	PR	PR_Dilemma_Firestorm	Dilemma		Kills all Away Team members with INTEGRITY<5. Discard dilemma.					[ETA]	
First Contact	PR	PR_Mission_First_Contact	Mission	[FED]	Diplomacy + Empathy				30		
Fleet Admiral Shanthi	PR	PR_Personnel_Fleet_Admiral_Shanthi	Personnel	Federation	OFFICER Leadership Diplomacy	9	6	4		[Cmd]	
Full Planet Scan	PR	PR_Interrupt_Full_Planet_Scan	Interrupt		Plays at the start of your turn on your ship with at least two staffing icons at a [P] mission. Stop your Computer Skill and Geology aboard to examine the bottom seed card here.						
Genetronic Replicator	PR	PR_Event_Genetronic_Replicator	Event		Plays on table. When a personnel is targeted to die, you may stop 2 MEDICAL present (who are not also targeted to die) to return that personnel to hand instead.						
Geordi La Forge	PR	PR_Personnel_Geordi_La_Forge	Personnel	Federation	ENGINEER ENGINEER Navigation Physics Computer Skill	8	8	6		[Cmd]	
Goddess of Empathy	PR	PR_Event_Goddess_of_Empathy	Event		Plays on table. [Interrupt] cards (except [Ref], [Q], Kevin Uxbridge, and Q2) cannot be played.					[2]	
Gowron	PR	PR_Personnel_Gowron	Personnel	Klingon	V.I.P. Leadership x 2 Diplomacy Honor	8	7	9		[Cmd]	
Gravitic Mine	PR	PR_Dilemma_Gravitic_Mine	Dilemma		Unless SCIENCE and Navigation present, damages ship. Discard dilemma.						
Hologram Ruse	PR	PR_Dilemma_Hologram_Ruse	Dilemma		To get past requires INTEGRITY>30 and CUNNING>30.						
Holo-Projectors	PR	PR_Event_Holo-Projectors	Event		Plays on a [P]. [Holo] cards may exist on this planet (activated or deactivated). If nullified, [Holo] cards that depended on these Holo-Projectors for existence are erased.						
Honor Challenge	PR	PR_Interrupt_Honor_Challenge	Interrupt		Plays at the start of a personnel battle. Each of your Klingons with Honor may kill an opposing personnel present with Treachery. (Cumulative.)						
Horga'hn	PR	PR_Artifact_Horga'hn	Artifact		Immediately plays on table. Each turn, gain an additional normal card play OR at end of turn, draw an extra card.						
Hugh	PR	PR_Interrupt_Hugh	Interrupt		Plays to cancel a battle just initiated by a [Bor] card or {Borg Ship} dilemma. OR Plays to kill all {Rogue Borg} at one location.						
Hunt for DNA Program	PR	PR_Mission_Hunt_for_DNA_Program	Mission	[FED][ROM][KLI]	Archaeology x3 + Computer Skill + Biology + Leadership + STRENGTH>40				55		
Hyper-Aging	PR	PR_Dilemma_Hyper-Aging	Dilemma		Place on Away Team; quarantined. If countdown expires, kills Away Team (except inorganics). Cure with 2 MEDICAL and SCIENCE (score points).				5	[4]	
I.K.S. Bortas	PR	PR_Ship_I.K.S._Bortas	Ship	Klingon	Cloaking Device, Tractor Beam	9	9	7			[Cmd][Stf][Stf]
I.K.S. Buruk	PR	PR_Ship_I.K.S._Buruk	Ship	Klingon	Cloaking Device, Tractor Beam	8	6	7			[Stf]
I.K.S. Hegh'ta	PR	PR_Ship_I.K.S._Hegh'ta	Ship	Klingon	Cloaking Device, Tractor Beam	8	7	7			[Stf]
I.K.S. Pagh	PR	PR_Ship_I.K.S._Pagh	Ship	Klingon	Cloaking Device, Tractor Beam	8	7	6			[Stf]
I.K.S. Qu'Vat	PR	PR_Ship_I.K.S._Qu'Vat	Ship	Klingon	Cloaking Device, Tractor Beam	9	8	8			[Cmd][Stf][Stf]
I.K.S. Vorn	PR	PR_Ship_I.K.S._Vorn	Ship	Klingon	Cloaking Device, Tractor Beam	8	7	6			[Stf]
Iconia Investigation	PR	PR_Mission_Iconia_Investigation	Mission	[ROM]	Archaeology + Computer Skill x2				35		
Iconian Computer Weapon	PR	PR_Dilemma_Iconian_Computer_Weapon	Dilemma		Unless SCIENCE present, reveal hand, discarding all non-personnel cards revealed. Then, draw a card for each card discarded this way. Discard dilemma.						
Impassable Door	PR	PR_Dilemma_Impassable_Door	Dilemma		To get past requires Computer Skill.					[IPG]	
Incoming Message: Federation	PR	PR_Interrupt_Incoming_Message_Federation	Interrupt		Plays on a [Fed] ship; its controller targets one of their [Fed] facilities on this spaceline (nullified if none). Ship must do nothing but move toward it. Nullified on arrival at its location.						
Incoming Message: Klingon	PR	PR_Interrupt_Incoming_Message_Klingon	Interrupt		Plays on a [Kli] ship; its controller targets one of their [Kli] facilities on this spaceline (nullified if none). Ship must do nothing but move toward it. Nullified on arrival at its location.						
Incoming Message: Romulan	PR	PR_Interrupt_Incoming_Message_Romulan	Interrupt		Plays on a [Rom] ship; its controller targets one of their [Rom] facilities on this spaceline (nullified if none). Ship must do nothing but move toward it. Nullified on arrival at its location.						
Interphase Generator	PR	PR_Artifact_Interphase_Generator	Artifact		Use as [Equipment]. Where present, nullifies [IPG] dilemmas.						
"Investigate ""Shattered Space"""	PR	PR_Mission_Investigate_Shattered_Space	Mission	[ROM]	Leadership + Computer Skill + Astrophysics x2 + Stellar Cartography				45		
Investigate Alien Probe	PR	PR_Mission_Investigate_Alien_Probe	Mission	[KLI]	Anthropology + Biology + Computer Skill				40		
Investigate Anomaly	PR	PR_Mission_Investigate_Anomaly	Mission	[FED][ROM][KLI]	Exobiology + STRENGTH>35				30		
Investigate Disappearance	PR	PR_Mission_Investigate_Disappearance	Mission	[FED]	Physics + Navigation + CUNNING>40 OR Astrophysics x3				35		
Investigate Disturbance	PR	PR_Mission_Investigate_Disturbance	Mission	[KLI]	Honor + Leadership + INTEGRITY>30 OR {Gowron} + Biology				35		
Investigate Massacre	PR	PR_Mission_Investigate_Massacre	Mission	[FED][ROM]	Diplomacy + INTEGRITY>35 + CUNNING>35				35		
Investigate Raid	PR	PR_Mission_Investigate_Raid	Mission	[ROM]	Exobiology + Diplomacy				35		
Investigate Rogue Comet	PR	PR_Mission_Investigate_Rogue_Comet	Mission	[FED]	Archaeology + Exobiology + Computer Skill				30		
Investigate Sighting	PR	PR_Mission_Investigate_Sighting	Mission	[FED][ROM]	Empathy x3 OR Treachery + Exobiology + CUNNING>40				35		
Investigate Time Continuum	PR	PR_Mission_Investigate_Time_Continuum	Mission	[FED]	{Guinan} OR {Data} OR discard your earned {Time Travel Pod} from play.				35		
